SV1a,SV1b,SV1c,upls,tripwire,decision,confidence,tripwire_triggered
0.15,0.5,0.45,0.347,3.47,COUNTER,Low,False
0.15,0.58,0.45,0.376,3.76,COUNTER,Low,False
0.15,0.64,0.45,0.396,3.96,COUNTER,Low,False
0.15,0.7,0.45,0.417,4.17,COUNTER,Low,False
0.15,0.76,0.45,0.438,4.38,COUNTER,Low,False
0.15,0.82,0.45,0.459,4.59,COUNTER,Low,False
0.15,0.86,0.45,0.473,4.73,COUNTER,Low,False
0.15,0.9,0.45,0.487,4.87,COUNTER,Low,False
0.15,0.96,0.45,0.508,5.08,HOLD,Moderate,False
0.22,0.5,0.45,0.376,3.76,COUNTER,Low,False
0.22,0.58,0.45,0.403,4.03,COUNTER,Low,False
0.22,0.64,0.45,0.424,4.24,COUNTER,Low,False
0.22,0.7,0.45,0.445,4.45,COUNTER,Low,False
0.22,0.76,0.45,0.466,4.66,COUNTER,Low,False
0.22,0.82,0.45,0.487,4.87,COUNTER,Low,False
0.22,0.86,0.45,0.502,5.02,HOLD,Moderate,False
0.22,0.9,0.45,0.516,5.16,HOLD,Moderate,False
0.22,0.96,0.45,0.536,5.36,HOLD,Moderate,False
0.28,0.5,0.45,0.4,4.0,COUNTER,Low,False
0.28,0.58,0.45,0.427,4.27,COUNTER,Low,False
0.28,0.64,0.45,0.448,4.48,COUNTER,Low,False
0.28,0.7,0.45,0.469,4.69,COUNTER,Low,False
0.28,0.76,0.45,0.49,4.9,COUNTER,Low,False
0.28,0.82,0.45,0.512,5.12,HOLD,Moderate,False
0.28,0.86,0.45,0.526,5.26,HOLD,Moderate,False
0.28,0.9,0.45,0.54,5.4,HOLD,Moderate,False
0.28,0.96,0.45,0.56,5.6,HOLD,Moderate,False
0.32,0.5,0.45,0.415,4.15,COUNTER,Low,False
0.32,0.58,0.45,0.443,4.43,COUNTER,Low,False
0.32,0.64,0.45,0.464,4.64,COUNTER,Low,False
0.32,0.7,0.45,0.485,4.85,COUNTER,Low,False
0.32,0.76,0.45,0.506,5.06,HOLD,Moderate,False
0.32,0.82,0.45,0.527,5.27,HOLD,Moderate,False
0.32,0.86,0.45,0.541,5.41,HOLD,Moderate,False
0.32,0.9,0.45,0.555,5.55,HOLD,Moderate,False
0.32,0.96,0.45,0.577,5.77,HOLD,Moderate,False
0.35,0.5,0.45,0.427,4.27,COUNTER,Low,False
0.35,0.58,0.45,0.455,4.55,COUNTER,Low,False
0.35,0.64,0.45,0.476,4.76,COUNTER,Low,False
0.35,0.7,0.45,0.497,4.97,COUNTER,Low,False
0.35,0.76,0.45,0.518,5.18,HOLD,Moderate,False
0.35,0.82,0.45,0.539,5.39,HOLD,Moderate,False
0.35,0.86,0.45,0.553,5.53,HOLD,Moderate,False
0.35,0.9,0.45,0.568,5.68,HOLD,Moderate,False
0.35,0.96,0.45,0.589,5.89,HOLD,Moderate,False
0.38,0.5,0.45,0.44,4.4,COUNTER,Low,False
0.38,0.58,0.45,0.467,4.67,COUNTER,Low,False
0.38,0.64,0.45,0.488,4.88,COUNTER,Low,False
0.38,0.7,0.45,0.51,5.1,HOLD,Moderate,False
0.38,0.76,0.45,0.53,5.3,HOLD,Moderate,False
0.38,0.82,0.45,0.551,5.51,HOLD,Moderate,False
0.38,0.86,0.45,0.566,5.66,HOLD,Moderate,False
0.38,0.9,0.45,0.58,5.8,HOLD,Moderate,False
0.38,0.96,0.45,0.601,6.01,HOLD,Moderate,False
0.42,0.5,0.45,0.455,4.55,COUNTER,Low,False
0.42,0.58,0.45,0.483,4.83,COUNTER,Low,False
0.42,0.64,0.45,0.505,5.05,HOLD,Moderate,False
0.42,0.7,0.45,0.525,5.25,HOLD,Moderate,False
0.42,0.76,0.45,0.546,5.46,HOLD,Moderate,False
0.42,0.82,0.45,0.568,5.68,HOLD,Moderate,False
0.42,0.86,0.45,0.582,5.82,HOLD,Moderate,False
0.42,0.9,0.45,0.596,5.96,HOLD,Moderate,False
0.42,0.96,0.45,0.617,6.17,HOLD,Moderate,False
0.46,0.5,0.45,0.471,4.71,COUNTER,Low,False
0.46,0.58,0.45,0.499,4.99,COUNTER,Low,False
0.46,0.64,0.45,0.521,5.21,HOLD,Moderate,False
0.46,0.7,0.45,0.541,5.41,HOLD,Moderate,False
0.46,0.76,0.45,0.562,5.62,HOLD,Moderate,False
0.46,0.82,0.45,0.584,5.84,HOLD,Moderate,False
0.46,0.86,0.45,0.598,5.98,HOLD,Moderate,False
0.46,0.9,0.45,0.612,6.12,HOLD,Moderate,False
0.46,0.96,0.45,0.633,6.33,HOLD,Moderate,False
0.5,0.5,0.45,0.487,4.87,COUNTER,Low,False
0.5,0.58,0.45,0.516,5.16,HOLD,Moderate,False
0.5,0.64,0.45,0.536,5.36,HOLD,Moderate,False
0.5,0.7,0.45,0.557,5.57,HOLD,Moderate,False
0.5,0.76,0.45,0.579,5.79,HOLD,Moderate,False
0.5,0.82,0.45,0.6,6.0,HOLD,Moderate,False
0.5,0.86,0.45,0.614,6.14,HOLD,Moderate,False
0.5,0.9,0.45,0.628,6.28,HOLD,Moderate,False
0.5,0.96,0.45,0.649,6.49,HOLD,Moderate,False
0.56,0.5,0.45,0.512,5.12,HOLD,Moderate,False
0.56,0.58,0.45,0.54,5.4,HOLD,Moderate,False
0.56,0.64,0.45,0.56,5.6,HOLD,Moderate,False
0.56,0.7,0.45,0.582,5.82,HOLD,Moderate,False
0.56,0.76,0.45,0.603,6.03,HOLD,Moderate,False
0.56,0.82,0.45,0.624,6.24,HOLD,Moderate,False
0.56,0.86,0.45,0.638,6.38,HOLD,Moderate,False
0.56,0.9,0.45,0.652,6.52,HOLD,Moderate,False
0.56,0.96,0.45,0.673,6.73,HOLD,Moderate,False
0.65,0.5,0.45,0.547,5.47,HOLD,Moderate,False
0.65,0.58,0.45,0.576,5.76,HOLD,Moderate,False
0.65,0.64,0.45,0.597,5.97,HOLD,Moderate,False
0.65,0.7,0.45,0.618,6.18,HOLD,Moderate,False
0.65,0.76,0.45,0.639,6.39,HOLD,Moderate,False
0.65,0.82,0.45,0.659,6.59,HOLD,Moderate,False
0.65,0.86,0.45,0.673,6.73,HOLD,Moderate,False
0.65,0.9,0.45,0.688,6.88,HOLD,Moderate,False
0.65,0.96,0.45,0.709,7.09,HOLD,Good,False
0.15,0.5,0.6,0.385,3.85,COUNTER,Low,False
0.15,0.58,0.6,0.413,4.13,COUNTER,Low,False
0.15,0.64,0.6,0.434,4.34,COUNTER,Low,False
0.15,0.7,0.6,0.455,4.55,COUNTER,Low,False
0.15,0.76,0.6,0.476,4.76,COUNTER,Low,False
0.15,0.82,0.6,0.497,4.97,COUNTER,Low,False
0.15,0.86,0.6,0.511,5.11,HOLD,Moderate,False
0.15,0.9,0.6,0.525,5.25,HOLD,Moderate,False
0.15,0.96,0.6,0.546,5.46,HOLD,Moderate,False
0.22,0.5,0.6,0.413,4.13,COUNTER,Low,False
0.22,0.58,0.6,0.441,4.41,COUNTER,Low,False
0.22,0.64,0.6,0.462,4.62,COUNTER,Low,False
0.22,0.7,0.6,0.483,4.83,COUNTER,Low,False
0.22,0.76,0.6,0.504,5.04,HOLD,Moderate,False
0.22,0.82,0.6,0.525,5.25,HOLD,Moderate,False
0.22,0.86,0.6,0.539,5.39,HOLD,Moderate,False
0.22,0.9,0.6,0.553,5.53,HOLD,Moderate,False
0.22,0.96,0.6,0.574,5.74,HOLD,Moderate,False
0.28,0.5,0.6,0.437,4.37,COUNTER,Low,False
0.28,0.58,0.6,0.465,4.65,COUNTER,Low,False
0.28,0.64,0.6,0.486,4.86,COUNTER,Low,False
0.28,0.7,0.6,0.507,5.07,HOLD,Moderate,False
0.28,0.76,0.6,0.528,5.28,HOLD,Moderate,False
0.28,0.82,0.6,0.549,5.49,HOLD,Moderate,False
0.28,0.86,0.6,0.563,5.63,HOLD,Moderate,False
0.28,0.9,0.6,0.577,5.77,HOLD,Moderate,False
0.28,0.96,0.6,0.598,5.98,HOLD,Moderate,False
0.32,0.5,0.6,0.453,4.53,COUNTER,Low,False
0.32,0.58,0.6,0.481,4.81,COUNTER,Low,False
0.32,0.64,0.6,0.502,5.02,HOLD,Moderate,False
0.32,0.7,0.6,0.523,5.23,HOLD,Moderate,False
0.32,0.76,0.6,0.544,5.44,HOLD,Moderate,False
0.32,0.82,0.6,0.565,5.65,HOLD,Moderate,False
0.32,0.86,0.6,0.579,5.79,HOLD,Moderate,False
0.32,0.9,0.6,0.593,5.93,HOLD,Moderate,False
0.32,0.96,0.6,0.614,6.14,HOLD,Moderate,False
0.35,0.5,0.6,0.465,4.65,COUNTER,Low,False
0.35,0.58,0.6,0.493,4.93,COUNTER,Low,False
0.35,0.64,0.6,0.514,5.14,HOLD,Moderate,False
0.35,0.7,0.6,0.535,5.35,HOLD,Moderate,False
0.35,0.76,0.6,0.556,5.56,HOLD,Moderate,False
0.35,0.82,0.6,0.577,5.77,HOLD,Moderate,False
0.35,0.86,0.6,0.591,5.91,HOLD,Moderate,False
0.35,0.9,0.6,0.605,6.05,HOLD,Moderate,False
0.35,0.96,0.6,0.626,6.26,HOLD,Moderate,False
0.38,0.5,0.6,0.477,4.77,COUNTER,Low,False
0.38,0.58,0.6,0.505,5.05,HOLD,Moderate,False
0.38,0.64,0.6,0.526,5.26,HOLD,Moderate,False
0.38,0.7,0.6,0.547,5.47,HOLD,Moderate,False
0.38,0.76,0.6,0.568,5.68,HOLD,Moderate,False
0.38,0.82,0.6,0.589,5.89,HOLD,Moderate,False
0.38,0.86,0.6,0.603,6.03,HOLD,Moderate,False
0.38,0.9,0.6,0.617,6.17,HOLD,Moderate,False
0.38,0.96,0.6,0.638,6.38,HOLD,Moderate,False
0.42,0.5,0.6,0.493,4.93,COUNTER,Low,False
0.42,0.58,0.6,0.521,5.21,HOLD,Moderate,False
0.42,0.64,0.6,0.542,5.42,HOLD,Moderate,False
0.42,0.7,0.6,0.563,5.63,HOLD,Moderate,False
0.42,0.76,0.6,0.584,5.84,HOLD,Moderate,False
0.42,0.82,0.6,0.605,6.05,HOLD,Moderate,False
0.42,0.86,0.6,0.619,6.19,HOLD,Moderate,False
0.42,0.9,0.6,0.633,6.33,HOLD,Moderate,False
0.42,0.96,0.6,0.654,6.54,HOLD,Moderate,False
0.46,0.5,0.6,0.509,5.09,HOLD,Moderate,False
0.46,0.58,0.6,0.537,5.37,HOLD,Moderate,False
0.46,0.64,0.6,0.558,5.58,HOLD,Moderate,False
0.46,0.7,0.6,0.579,5.79,HOLD,Moderate,False
0.46,0.76,0.6,0.6,6.0,HOLD,Moderate,False
0.46,0.82,0.6,0.621,6.21,HOLD,Moderate,False
0.46,0.86,0.6,0.635,6.35,HOLD,Moderate,False
0.46,0.9,0.6,0.649,6.49,HOLD,Moderate,False
0.46,0.96,0.6,0.67,6.7,HOLD,Moderate,False
0.5,0.5,0.6,0.525,5.25,HOLD,Moderate,False
0.5,0.58,0.6,0.553,5.53,HOLD,Moderate,False
0.5,0.64,0.6,0.574,5.74,HOLD,Moderate,False
0.5,0.7,0.6,0.595,5.95,HOLD,Moderate,False
0.5,0.76,0.6,0.616,6.16,HOLD,Moderate,False
0.5,0.82,0.6,0.637,6.37,HOLD,Moderate,False
0.5,0.86,0.6,0.651,6.51,HOLD,Moderate,False
0.5,0.9,0.6,0.665,6.65,HOLD,Moderate,False
0.5,0.96,0.6,0.686,6.86,HOLD,Moderate,False
0.56,0.5,0.6,0.549,5.49,HOLD,Moderate,False
0.56,0.58,0.6,0.577,5.77,HOLD,Moderate,False
0.56,0.64,0.6,0.598,5.98,HOLD,Moderate,False
0.56,0.7,0.6,0.619,6.19,HOLD,Moderate,False
0.56,0.76,0.6,0.64,6.4,HOLD,Moderate,False
0.56,0.82,0.6,0.661,6.61,HOLD,Moderate,False
0.56,0.86,0.6,0.675,6.75,HOLD,Moderate,False
0.56,0.9,0.6,0.689,6.89,HOLD,Moderate,False
0.56,0.96,0.6,0.71,7.1,HOLD,Good,False
0.65,0.5,0.6,0.585,5.85,HOLD,Moderate,False
0.65,0.58,0.6,0.613,6.13,HOLD,Moderate,False
0.65,0.64,0.6,0.634,6.34,HOLD,Moderate,False
0.65,0.7,0.6,0.655,6.55,HOLD,Moderate,False
0.65,0.76,0.6,0.676,6.76,HOLD,Moderate,False
0.65,0.82,0.6,0.697,6.97,HOLD,Moderate,False
0.65,0.86,0.6,0.711,7.11,HOLD,Good,False
0.65,0.9,0.6,0.725,7.25,HOLD,Good,False
0.65,0.96,0.6,0.746,7.46,HOLD,Good,False
0.15,0.5,0.75,0.422,4.22,COUNTER,Low,False
0.15,0.58,0.75,0.451,4.51,COUNTER,Low,False
0.15,0.64,0.75,0.471,4.71,COUNTER,Low,False
0.15,0.7,0.75,0.492,4.92,COUNTER,Low,False
0.15,0.76,0.75,0.513,5.13,HOLD,Moderate,False
0.15,0.82,0.75,0.534,5.34,HOLD,Moderate,False
0.15,0.86,0.75,0.548,5.48,HOLD,Moderate,False
0.15,0.9,0.75,0.562,5.62,HOLD,Moderate,False
0.15,0.96,0.75,0.583,5.83,HOLD,Moderate,False
0.22,0.5,0.75,0.451,4.51,COUNTER,Low,False
0.22,0.58,0.75,0.478,4.78,COUNTER,Low,False
0.22,0.64,0.75,0.499,4.99,COUNTER,Low,False
0.22,0.7,0.75,0.52,5.2,HOLD,Moderate,False
0.22,0.76,0.75,0.541,5.41,HOLD,Moderate,False
0.22,0.82,0.75,0.562,5.62,HOLD,Moderate,False
0.22,0.86,0.75,0.577,5.77,HOLD,Moderate,False
0.22,0.9,0.75,0.591,5.91,HOLD,Moderate,False
0.22,0.96,0.75,0.611,6.11,HOLD,Moderate,False
0.28,0.5,0.75,0.475,4.75,COUNTER,Low,False
0.28,0.58,0.75,0.502,5.02,HOLD,Moderate,False
0.28,0.64,0.75,0.523,5.23,HOLD,Moderate,False
0.28,0.7,0.75,0.544,5.44,HOLD,Moderate,False
0.28,0.76,0.75,0.566,5.66,HOLD,Moderate,False
0.28,0.82,0.75,0.587,5.87,HOLD,Moderate,False
0.28,0.86,0.75,0.601,6.01,HOLD,Moderate,False
0.28,0.9,0.75,0.615,6.15,HOLD,Moderate,False
0.28,0.96,0.75,0.635,6.35,HOLD,Moderate,False
0.32,0.5,0.75,0.49,4.9,COUNTER,Low,False
0.32,0.58,0.75,0.518,5.18,HOLD,Moderate,False
0.32,0.64,0.75,0.539,5.39,HOLD,Moderate,False
0.32,0.7,0.75,0.56,5.6,HOLD,Moderate,False
0.32,0.76,0.75,0.581,5.81,HOLD,Moderate,False
0.32,0.82,0.75,0.603,6.03,HOLD,Moderate,False
0.32,0.86,0.75,0.617,6.17,HOLD,Moderate,False
0.32,0.9,0.75,0.631,6.31,HOLD,Moderate,False
0.32,0.96,0.75,0.651,6.51,HOLD,Moderate,False
0.35,0.5,0.75,0.502,5.02,HOLD,Moderate,False
0.35,0.58,0.75,0.53,5.3,HOLD,Moderate,False
0.35,0.64,0.75,0.551,5.51,HOLD,Moderate,False
0.35,0.7,0.75,0.573,5.73,HOLD,Moderate,False
0.35,0.76,0.75,0.593,5.93,HOLD,Moderate,False
0.35,0.82,0.75,0.614,6.14,HOLD,Moderate,False
0.35,0.86,0.75,0.628,6.28,HOLD,Moderate,False
0.35,0.9,0.75,0.642,6.42,HOLD,Moderate,False
0.35,0.96,0.75,0.663,6.63,HOLD,Moderate,False
0.38,0.5,0.75,0.514,5.14,HOLD,Moderate,False
0.38,0.58,0.75,0.542,5.42,HOLD,Moderate,False
0.38,0.64,0.75,0.564,5.64,HOLD,Moderate,False
